id,name,风格,风格_multi,风格_证据,风格_关键词,产品,产品_multi,产品_证据,产品_关键词,工艺,工艺_multi,工艺_证据,工艺_关键词,风味,风味_multi,风味_证据,风味_关键词,经营,经营_multi,经营_证据,经营_关键词,价格带,价格_置信,区,商圈,评分,评论数,外卖,团购,分店数,菜品摘要,brand_product,conflict
Dt9RgQwp7j2NgubR,上京城中国鸡排&饼汉堡(姚桥店),中式,True,A:菜品直接证据,脆皮炸鸡;台式,整鸡/大单品+鸡腿+鸡排+鸡块/鸡米花/鸡柳,True,A:菜品直接证据,大鸡;鸡腿;鸡排;鸡架;鸡米花,裹粉炸,True,A:菜品直接证据,脆皮;生炸,香辣+甜辣,True,A:菜品直接证据,香辣;芝士,堂食+外卖+团购,False,B:多字段组合,外卖:1/团购:1,10-15,A,金水区,龙子湖校区,口味:3.6 环境:3.6 服务:3.6,26,1,1,7,中国鳕鱼堡_招牌香辣鸡排_劲脆鸡米花_中国七虾堡_奶酪芝士鸡块_脆皮炸鸡腿_京城脆皮炸鸡腿_京城大鸡排_藤椒猪肉串_中国鸡腿堡,,
H1xMXKL1dynSGVrH,临榆炸鸡腿(河南牧业经济学院龙子湖校区店),中式,False,C:品牌映射,brand:临榆,鸡腿,False,"C:店名推断(修正,优先于品牌映射)",brand:临榆,腌炸,False,C:品牌映射,brand:临榆,原味,False,C:品牌映射,brand:临榆,档口/摊位,False,C:品牌映射,brand:临榆,10-15,A,金水区,龙子湖校区,口味:3.7 环境:3.7 服务:3.7,1,1,,16,脆皮手枪腿_开心薯饼,鸡排,brand_product_conflict
k7RwGWnmqYKhC81n,鲜炸鸡(财大三餐一楼店),Unknown,False,D:无证据,,Unknown,False,D:无证据,,生炸/现炸,False,C:店名推断,鲜炸,Unknown,False,D:无证据,,堂食+外卖+团购,False,B:多字段组合,外卖:1/团购:1,Unknown,D,金水区,龙子湖校区,,8,1,1,0,特惠薯条_小吃套_炸鸡全家桶,,
G6IhUnP8d5QoMBMQ,祥源美炸鸡肉夹馍,Unknown,False,D:无证据,,鸡架/锁骨/叉骨+鸡块/鸡米花/鸡柳+鸡脖/其他部位,True,A:菜品直接证据,琵琶腿;鸡翅;叉骨;鸡米花;鸡皮,Unknown,False,D:无证据,,原味,True,A:菜品直接证据,香酥;黑椒,含团购,False,B:团购字段,1,15-20,A,中原区,儿童公园/凯旋门,,4,,1,0,鸡皮_油炸鸡米花_五香牙签肉_油炸脆骨肉_炸鸡,,
H4JFeIY182T6lByt,百风大脸鸡排(汝河路店),Unknown,False,D:无证据,,鸡腿,True,A:菜品直接证据,鸡腿;鸡翅;鸡排;鸡块,Unknown,False,D:无证据,,黑胡椒+酸甜,True,A:菜品直接证据,黑胡椒;橙,堂食+外卖+团购,False,B:多字段组合,外卖:1/团购:1,10-15,A,中原区,儿童公园/凯旋门,口味:3.8 环境:3.8 服务:3.8,338,1,1,0,橙汁_黑胡椒_爆汁牛肉丸_墨鱼派_爱心鸡块_关东煮_大鱿鱼_盐切鸡_盐酥鸡_玉米甜心,,
G8cPGZ4H7DpjvhYY,徐记烧烤羊排火锅(汝河路店),Unknown,False,D:无证据,,Unknown,False,D:无证据,,Unknown,False,D:无证据,,Unknown,False,D:无证据,,Unknown,False,D:无证据,,50+,A,中原区,儿童公园/凯旋门,口味:4.2 环境:4.1 服务:4.1,165,,,0,方便面_荆芥变蛋_西凤酒_黄瓜变蛋_萝卜拼白菜_羊排砂锅_大闸蟹_红烧沙丁鱼_卤菜_羊筋,,
H3l0A0TWO2vHCUSV,沃沃鸡·香酥鸡柳卷饼,中式,False,A:菜品直接证据,香酥鸡,整鸡/大单品+鸡块/鸡米花/鸡柳,True,A:菜品直接证据,香酥鸡;鸡柳,Unknown,False,D:无证据,,原味,False,A:菜品直接证据,香酥,堂食+外卖+团购,False,B:多字段组合,外卖:1/团购:1,<10,A,巩义市,体育馆,口味:3.5 环境:3.5 服务:3.5,4,1,1,0,香酥鸡柳卷饼_沃沃鸡鸡柳卷饼,,
H1HrIcmpMx7pmhPf,王记炸鸡,Unknown,False,D:无证据,,整鸡/大单品+鸡架/锁骨/叉骨+鸡块/鸡米花/鸡柳,True,A:菜品直接证据,全鸡;叉骨;鸡丁,Unknown,False,D:无证据,,Unknown,False,D:无证据,,堂食+外卖+团购,False,B:多字段组合,外卖:1/团购:1,Unknown,D,巩义市,体育馆,,,1,1,0,小叉骨_炸大叉骨_全鸡_鸡丁,,
l4VOrSp1EPujFxqU,金闵熙韩式炸鸡,韩式,False,C:品牌映射,brand:金闵熙,鸡块/鸡米花/鸡柳,False,C:品牌映射,brand:金闵熙,裹粉炸,False,C:品牌映射,brand:金闵熙,甜辣,False,C:品牌映射,brand:金闵熙,外卖型,False,C:品牌映射,brand:金闵熙,10-15,A,巩义市,体育馆,,,,1,0,无骨炸鸡块_韩式无骨炸鸡块_进口火鸡面_无骨鸡块,,
lafngeOqKSPhquAu,源香炸鸡,中式,False,A:菜品直接证据,香酥鸡,整鸡/大单品+鸡腿+鸡翅+鸡块/鸡米花/鸡柳,True,A:菜品直接证据,大鸡;鸡腿;鸡翅;鸡米花,裹粉炸,False,A:菜品直接证据,酥炸,原味,False,A:菜品直接证据,香酥,含团购,False,B:团购字段,1,10-15,A,巩义市,体育馆,,,,1,0,王侯烧鸡_鸡米花_五香柴鸡_五香烧鸡_香酥炸鸡_香炸大鸡腿_香酥鸡翅根,,
H6eFiB70xhZXdUfo,炸鸡姑娘·韩式炸鸡(前进路店),韩式,False,A:菜品直接证据,韩式,鸡块/鸡米花/鸡柳,False,A:菜品直接证据,鸡米花,Unknown,False,D:无证据,,香辣+甜辣+黑胡椒,True,A:菜品直接证据,香辣;芝士;黑椒,含外卖,False,B:外卖字段,1,15-20,A,中原区,儿童公园/凯旋门,口味:3.8 环境:3.6 服务:3.6,110,1,,0,弹年糕_麻辣撒粉_榴莲芝士酱_黑椒撒粉_魔鬼辣酱_叽叽鸡肉_芬达瓶装_藤椒鸡米花_香辣留香肉串_网红锅巴土豆,,
G3AYMtkrsBxmbAnT,小伟炸鸡(园丁街店),Unknown,False,D:无证据,,鸡腿+鸡块/鸡米花/鸡柳+鸡脖/其他部位,True,A:菜品直接证据,鸡腿;翅尖;鸡叉骨;鸡丁;鸡爪,Unknown,False,D:无证据,,香辣,True,A:菜品直接证据,麻辣;甘梅,堂食+外卖+团购,False,B:多字段组合,外卖:1/团购:1,15-20,A,巩义市,体育馆,口味:3.4 环境:3.4 服务:3.4,28,1,1,0,招牌手枪腿_五香鸡爪_鸡胗子_卤鸡腿_炸鸡丁_肉肠_炸虾_鸭脖_炸无骨龙利鱼_五香烧鸡,,
G27ZygnaTExKp1GQ,满巍明生炸鸡架(探十里店),中式,False,C:品牌映射,brand:满巍明,整鸡/大单品+鸡腿+鸡架/锁骨/叉骨+鸡块/鸡米花/鸡柳+鸡脖/其他部位,True,C:品牌映射,brand:满巍明,生炸/现炸,False,C:品牌映射,brand:满巍明,香辣,False,C:品牌映射,brand:满巍明,档口/摊位,False,C:品牌映射,brand:满巍明,15-20,A,中原区,儿童公园/凯旋门,口味:4.5 环境:4.4 服务:4.4,515,1,1,19,美味脆鸡胗_超级鸡叉骨_究极鸡腿肉_生椰拿铁鸡腱腿_轰炸大鸡腿_鸡叉骨_生炸杏鲍菇_生椰拿铁鸡肋条_飘香脆脆薯_给力大鸡柳,,
l9db8e53ViqlgK7x,炸鸡小店(和昌澜景店),Unknown,False,D:无证据,,Unknown,False,D:无证据,,Unknown,False,D:无证据,,Unknown,False,D:无证据,,含外卖,False,B:外卖字段,1,Unknown,D,中原区,儿童公园/凯旋门,,,1,,0,,,
l7BcQPEowW7JvYWr,刘婉婉生炸妙龄鸡(巩义陇海路店),中式,False,C:品牌映射,brand:刘婉婉,整鸡/大单品,False,C:品牌映射,brand:刘婉婉,生炸/现炸,False,C:品牌映射,brand:刘婉婉,原味,False,C:品牌映射,brand:刘婉婉,档口/摊位,False,C:品牌映射,brand:刘婉婉,<10,A,巩义市,体育馆,口味:3.8 环境:3.8 服务:3.6,11,,1,7,鸡背肉_奶香地瓜条_现炸黄金鸡柳_无骨上腿肉,,
l21MQBa5I6m72ZLt,叫了只鸡(须水镇店),中式,False,C:品牌映射,brand:叫了只,鸡腿+鸡翅+鸡块/鸡米花/鸡柳,True,C:品牌映射,brand:叫了只,生炸/现炸,False,C:品牌映射,brand:叫了只,原味,False,C:品牌映射,brand:叫了只,外卖型,False,C:品牌映射,brand:叫了只,20-30,A,中原区,元通纺织城,,,1,,0,神奇的鸡_叫香鸡米花_翅翅的爱_小鸡腿_鸡翅包饭_魔法薯条_汇源冰红茶_紫薯丸子_虾球_紫薯球,,
k14dfxCH7FkLxSCo,黎太院韩式炸鸡(须水店),韩式,False,C:品牌映射,brand:黎太院,鸡块/鸡米花/鸡柳,False,C:品牌映射,brand:黎太院,裹粉炸,False,C:品牌映射,brand:黎太院,甜辣,False,C:品牌映射,brand:黎太院,堂食+外带,False,C:品牌映射,brand:黎太院,20-30,A,中原区,元通纺织城,,,1,,0,,,
G1I666TW2HdTHerd,满分炸串(华林广场店),韩式,False,A:菜品直接证据,韩式,Unknown,False,D:无证据,,Unknown,False,D:无证据,,香辣,False,A:菜品直接证据,香辣,含团购,False,B:团购字段,1,15-20,A,金水区,健康路/零零茂,口味:3.5 环境:3.5 服务:3.5,4,,1,0,招牌香辣龙虾尾_韩式烤肉串_满分鸡背肉_绝味大面筋,,
kauy7hOg2XVfK9Nj,张屯屯开花鸡腿(健康路店),中式,False,C:品牌映射,brand:张屯屯,整鸡/大单品+鸡腿+鸡翅+鸡架/锁骨/叉骨+鸡块/鸡米花/鸡柳,True,C:品牌映射,brand:张屯屯,生炸/现炸,False,C:品牌映射,brand:张屯屯,香辣+甜辣,True,C:品牌映射,brand:张屯屯,档口/摊位,False,C:品牌映射,brand:张屯屯,10-15,A,金水区,健康路/零零茂,口味:3.7 环境:3.7 服务:3.7,48,1,1,0,开花鸡腿_海苔鸡柳_招牌琵琶腿_麻辣锅巴土豆_黄金鸡翅根_甜麻辣生炸大鸡架_甜辣生炸大鸡架_甜辣生炸鸡架_脆皮鲜奶酥_糖心爆浆糍粑,,
l3aEKvAH0bIoXAW2,梁小仙烙馍卷面筋(健康路店),Unknown,False,D:无证据,,整鸡/大单品+鸡翅+鸡脖/其他部位,True,A:菜品直接证据,烤鸡;鸡翅;鸡爪,烤炸复合,False,A:菜品直接证据,烤鸡,黑胡椒,False,A:菜品直接证据,黑胡椒,堂食+外卖+团购,False,B:多字段组合,外卖:1/团购:1,10-15,A,金水区,健康路/零零茂,口味:4.0 环境:3.7 服务:3.7,28,1,1,0,鸡皮卷饼_爆汁大鱿鱼串_爆烤鸡心_烤鸡翅_网红鸡肉_爆烤鸡胗_铁板豆皮_爆烤香肠_烤秘制鸡爪_烤小黄鱼,,
l6ALfkCSG8PvCgaI,幺巴御膳叉骨(健康路店),中式,False,C:品牌映射,brand:御膳,鸡架/锁骨/叉骨,False,C:品牌映射,brand:御膳,生炸/现炸,False,C:品牌映射,brand:御膳,椒盐,False,C:品牌映射,brand:御膳,档口/摊位,False,C:品牌映射,brand:御膳,20-30,A,金水区,健康路/零零茂,口味:3.6 环境:3.5 服务:3.5,21,,1,0,特色鸡块_特色龙脆骨,,
l5x4Vhahj0e9nA9d,丁丁叉骨&炸鸡联盟(同乐路店),中式,False,A:菜品直接证据,中式炸鸡,鸡架/锁骨/叉骨+鸡块/鸡米花/鸡柳,True,A:菜品直接证据,鸡叉骨;鸡块,Unknown,False,D:无证据,,Unknown,False,D:无证据,,堂食+外卖+团购,False,B:多字段组合,外卖:1/团购:1,15-20,A,金水区,健康路/零零茂,口味:3.5 环境:3.5 服务:3.5,39,1,1,0,丁丁叉骨_炸蘑菇_秘制叉骨_鸡背肉_风味鸡块_新中式炸鸡_招牌鸡叉骨,,
l33y8Mlx6qSj7Mym,爆掌柜生炸鸡架(健康路店),中式,False,C:品牌映射,brand:爆掌柜,整鸡/大单品+鸡腿+鸡翅+鸡块/鸡米花/鸡柳+鸡脖/其他部位,True,C:品牌映射,brand:爆掌柜,生炸/现炸,False,C:品牌映射,brand:爆掌柜,香辣+酱香+酸甜,True,C:品牌映射,brand:爆掌柜,档口/摊位,False,C:品牌映射,brand:爆掌柜,10-15,A,金水区,大石桥/体育场,口味:3.9 环境:3.9 服务:3.8,171,1,1,11,生炸鸡胗_甘梅地瓜_生炸琵琶腿_手枪腿第二只半价_五香里脊肉夹饼_奥尔良腿排夹饼_咖喱鸡柳肉夹饼_生炸大鸡翅_香辣伴翅_麻辣伴翅,,
H9MVMkcRYtYjjIvX,正新鸡排·炸鸡烧烤(德化街友谊大厦店),美式/西式,False,C:品牌映射,brand:正新,整鸡/大单品+鸡翅+鸡排,True,C:品牌映射,brand:正新,裹粉炸,False,C:品牌映射,brand:正新,原味,False,C:品牌映射,brand:正新,档口/摊位,False,C:品牌映射,brand:正新,10-15,A,金水区,东建材,口味:3.7 环境:3.7 服务:3.6,20,,1,0,金锤翅根_中国鸡排汉堡_爆料鸡排_大鸡肉串_香辣鸡排套,,
G6e2OFLKWAbtixQU,胡夫炸串(健康路店),中式,False,C:品牌映射,brand:胡夫,鸡架/锁骨/叉骨,False,C:品牌映射,brand:胡夫,生炸/现炸,False,C:品牌映射,brand:胡夫,香辣,False,C:品牌映射,brand:胡夫,档口/摊位,False,C:品牌映射,brand:胡夫,30-50,A,金水区,健康路/零零茂,口味:3.7 环境:3.6 服务:3.7,39,1,1,0,招牌肉酱拌面_青柠酸菜土豆粉_当红辣子鸡_生炸鸡腿排_菌香乌鸡两掺_卤肥肠酸辣粉_麻酱砂锅土豆粉_金汤米线_鸡丝凉面_菌香乌鸡土豆粉,,
HaRQbTHHjHbRc3vq,喜姥姥乐山炸串铺(郑州健康路店),Unknown,False,D:无证据,,整鸡/大单品+鸡腿+鸡排,True,A:菜品直接证据,大鸡;鸡腿;鸡排;鸡块,裹粉炸,False,A:菜品直接证据,脆皮,香辣+甜辣,True,A:菜品直接证据,麻辣;甜辣;椒麻,堂食+外卖+团购,False,B:多字段组合,外卖:1/团购:1,10-15,A,金水区,健康路/零零茂,口味:3.6 环境:3.6 服务:3.6,5,1,1,0,鸭肠_酸萝卜炸串拌饼_拉丝芝士棒_淀粉肠_成都酸辣粉_苕皮包酸豆角_带骨辣子鸡_藤椒大鸡腿_金丝鸡排_招牌带骨辣子鸡,,
G4IsSgMWVOfLVS1O,鸡柳大人(健康路店),中式,False,C:品牌映射,brand:鸡柳大人,鸡块/鸡米花/鸡柳,False,C:品牌映射,brand:鸡柳大人,生炸/现炸,False,C:品牌映射,brand:鸡柳大人,椒盐,False,C:品牌映射,brand:鸡柳大人,档口/摊位,False,C:品牌映射,brand:鸡柳大人,10-15,A,金水区,健康路/零零茂,口味:3.7 环境:3.5 服务:3.6,1,1,,36,四合一（小桶）,,
k5s70LhgMamkppg5,正新鸡排(运城上河店),美式/西式,False,C:品牌映射,brand:正新,鸡腿+鸡翅+鸡块/鸡米花/鸡柳,True,C:品牌映射,brand:正新,裹粉炸,False,C:品牌映射,brand:正新,甜辣+酱香+酸甜,True,C:品牌映射,brand:正新,档口/摊位,False,C:品牌映射,brand:正新,10-15,A,中原区,元通纺织城,口味:3.5 环境:3.5 服务:3.5,9,1,1,0,正新猪肉串_奥尔良鸡腿堡_菠萝汁_秘制鸭肠_疯狂烤翅_开花肠_鸡柳_拉丝芝士棒_小鱿鱼串_小牛肉串,,
l8yR4HuvOrpVZ4zT,麦德香脆皮炸鸡(汝河路店),中式,False,A:菜品直接证据,脆皮炸鸡,整鸡/大单品+鸡腿+鸡排+鸡块/鸡米花/鸡柳,True,A:菜品直接证据,嫩鸡;鸡腿;鸡排;鸡米花,裹粉炸,False,A:菜品直接证据,脆皮,甜辣+黑胡椒+酸甜,True,A:菜品直接证据,芝士;黑胡椒;番茄,含团购,False,B:团购字段,1,10-15,A,中原区,儿童公园/凯旋门,口味:3.5 环境:3.5 服务:3.5,50,,1,0,焦嫩鸡柳_川香鸡柳_香虾堡_酥皮大琵琶腿_骨肉相连_大脸鸡排_芝士的大脸鸡排_蓝莓味儿的大脸鸡排_番茄味儿的大脸鸡排_黑胡椒味儿的大脸鸡排,,
l1jn7VIyqz8CIEyq,正新鸡排(睿海店),美式/西式,False,C:品牌映射,brand:正新,鸡翅+鸡脖/其他部位,True,C:品牌映射,brand:正新,裹粉炸,False,C:品牌映射,brand:正新,原味,False,C:品牌映射,brand:正新,档口/摊位,False,C:品牌映射,brand:正新,10-15,A,中原区,儿童公园/凯旋门,口味:3.4 环境:3.4 服务:3.4,33,1,1,0,烤香肠_正新顺益哆乳酸菌_正新秘制鸭肠_俄罗斯肉串_阿拉伯烤肉串_疯狂烤翅_巴西香辣鸡胗串_正新奶茶_正新小鸭胗_正新小牛肉串,,
k2LmpoR4uyINzB31,福味源炸鸡店,Unknown,False,D:无证据,,鸡翅+鸡脖/其他部位,True,A:菜品直接证据,鸡翅;鸡爪,Unknown,False,D:无证据,,Unknown,False,D:无证据,,Unknown,False,D:无证据,,20-30,A,巩义市,体育馆,口味:3.9 环境:3.9 服务:3.9,10,,,0,翅根_鸡皮_卤鸡爪_鸡翅尖,,
H4Y71TqcYMtz7ggn,黎太院·韩式炸鸡(巩义店),韩式,False,C:品牌映射,brand:黎太院,鸡块/鸡米花/鸡柳,False,C:品牌映射,brand:黎太院,裹粉炸,False,C:品牌映射,brand:黎太院,甜辣,False,C:品牌映射,brand:黎太院,堂食+外带,False,C:品牌映射,brand:黎太院,50+,A,巩义市,体育馆,口味:3.4 环境:3.4 服务:3.4,4,,,0,面包卷_辣椒炒牛肉_手工捞面_爆辣韩式火鸡面_爆辣韩式火鸡面酥酥糯糯年糕_嫩脆小翅根_酥酥糯糯年糕,,
G758IfQGJ8Qiy8uo,小树家炸串店,Unknown,False,D:无证据,,鸡块/鸡米花/鸡柳,False,A:菜品直接证据,鸡块,裹粉炸,False,A:菜品直接证据,脆皮,香辣,False,A:菜品直接证据,香辣,堂食+外卖+团购,False,B:多字段组合,外卖:1/团购:1,15-20,A,巩义市,体育馆,口味:3.9 环境:3.9 服务:3.9,14,1,1,0,撒尿牛肉丸_大号淀粉肠外焦里嫩_猪肉豆角焖面_炸苕皮串_紫薯豌豆丸子_鱼丸_火龙串_五星鸡块_鱼棒_牛排,,
i8j5Ky3KDkYF7cmz,二胖米线炸串,Unknown,False,D:无证据,,Unknown,False,D:无证据,,Unknown,False,D:无证据,,Unknown,False,D:无证据,,Unknown,False,D:无证据,,Unknown,D,巩义市,体育馆,口味:3.4 环境:3.4 服务:3.4,1,,,0,,,
l5bKkik8kwaKOesq,KimMin-HEE韩式炸鸡(安乐街店),韩式,False,A:菜品直接证据,韩式,鸡块/鸡米花/鸡柳,False,A:菜品直接证据,鸡块,Unknown,False,D:无证据,,甜辣+酱香,True,A:菜品直接证据,芝士;酱料,含团购,False,B:团购字段,1,20-30,A,巩义市,体育馆,口味:3.6 环境:3.6 服务:3.6,6,,1,0,无骨鸡块_进口火鸡面_炸地瓜丸_韩式酱料_拉丝雪花芝士丸子_单人可乐特惠_炸鱼豆腐,,
k43L3zqiM6xHzjRr,夸父炸串(郑州探十里店),中式,False,C:品牌映射,brand:夸父,整鸡/大单品+鸡腿+鸡架/锁骨/叉骨,True,C:品牌映射,brand:夸父,生炸/现炸,False,C:品牌映射,brand:夸父,香辣,False,C:品牌映射,brand:夸父,档口/摊位,False,C:品牌映射,brand:夸父,15-20,A,中原区,儿童公园/凯旋门,口味:3.9 环境:3.9 服务:3.9,120,1,1,2,嫩嫩鸡肉串_生炸鸡腿排_生炸鸡架_鱿鱼龙爪须_甜甜玉米粒_开花火腿肠_招牌掌中宝_蝴蝶结豆扣串_旋风大面筋_灵魂伴侣酸辣粉,,
H66NZZ02TrljmQHa,汉堡炸鸡饮品小吃,Unknown,False,D:无证据,,Unknown,False,D:无证据,,Unknown,False,D:无证据,,Unknown,False,D:无证据,,Unknown,False,D:无证据,,Unknown,D,惠济区,北大学城,,,,,0,,,
H14OudCqB3LXu09G,品味韩式炸鸡·炸鱼(俪水店),韩式,False,C:店名推断,韩式,整鸡/大单品+鸡腿+鸡架/锁骨/叉骨+鸡块/鸡米花/鸡柳,True,A:菜品直接证据,脆皮鸡;鸡腿;鸡叉骨;鸡块,裹粉炸,False,A:菜品直接证据,脆皮,原味+香辣+黑胡椒+酸甜,True,A:菜品直接证据,香酥;香辣;孜然;黑胡椒;番茄,含外卖,False,B:外卖字段,1,<10,A,惠济区,北大学城,,,1,,0,干炸小海虾_炸薯条_黑椒鸡块_甘梅红薯条_黑胡椒烤香肠_香辣扒皮鱼_特色鸡脆骨_招牌鸡叉骨_香酥脆皮鸡腿_低脂养生蔬果沙拉,,
laRlQ2TFcbMbDXMt,韩黎院韩式炸鸡汉堡,韩式,False,C:品牌映射,brand:韩黎院,鸡块/鸡米花/鸡柳,False,C:品牌映射,brand:韩黎院,裹粉炸,False,C:品牌映射,brand:韩黎院,甜辣,False,C:品牌映射,brand:韩黎院,堂食+外带,False,C:品牌映射,brand:韩黎院,20-30,A,惠济区,北大学城,口味:3.4 环境:3.4 服务:3.4,6,1,1,0,,,
H7UxSTMRLwfcwAsP,赛可赛西汉堡炸鸡(增福街店),美式/西式,False,A:菜品直接证据,吮指,鸡腿,True,A:菜品直接证据,鸡腿;鸡块,Unknown,False,D:无证据,,香辣+孜然+酱香,True,A:菜品直接证据,香辣;孜然;奥尔良,含外卖,False,B:外卖字段,1,15-20,A,中牟县,刘集镇,口味:3.4 环境:3.4 服务:3.4,3,1,,0,水果披萨_鸡肉焖面_香辣牛肉焖面_孜然牛肉炒饭_孜然鸡柳_奥尔良烤腿堡_玉米杯_草莓味奶茶_香芋味奶茶_热咖啡,,
ESGGSpbySvbNpYw9,正新鸡排·炸鸡烧烤(美景欢乐广场店),美式/西式,False,C:品牌映射,brand:正新,鸡排,False,C:品牌映射,brand:正新,裹粉炸,False,C:品牌映射,brand:正新,原味,False,C:品牌映射,brand:正新,档口/摊位,False,C:品牌映射,brand:正新,10-15,A,惠济区,北大学城,口味:3.9 环境:3.9 服务:3.9,63,1,1,0,正新烤肠,,
G5N99KckvJqt5Tfv,正新鸡排·炸鸡烧烤(牧业学院鸡排店),美式/西式,False,C:品牌映射,brand:正新,整鸡/大单品+鸡排,True,C:品牌映射,brand:正新,裹粉炸,False,C:品牌映射,brand:正新,原味,False,C:品牌映射,brand:正新,档口/摊位,False,C:品牌映射,brand:正新,10-15,A,惠济区,北大学城,口味:3.9 环境:3.7 服务:3.9,16,,1,0,香辣鸡排套_大鸡肉串_爆料鸡排_正新大烤肠_欢乐炸鸡桶_中国鸡排汉堡,,
k3cd1vtrQrfJr0ay,临榆炸鸡腿(郑州师范北门店),中式,False,C:品牌映射,brand:临榆,鸡腿,True,"C:店名推断(修正,优先于品牌映射)",brand:临榆,腌炸,False,C:品牌映射,brand:临榆,原味,False,C:品牌映射,brand:临榆,档口/摊位,False,C:品牌映射,brand:临榆,10-15,A,惠济区,北大学城,,6,1,1,16,红豆饼_招牌炸鸡腿_炸全翅_豆皮肉卷_黄金鸡叉骨_黄金香骨鸡_鲜肉饼_脆皮手枪腿_香骨鸡_香酥琵琶腿,鸡排,brand_product_conflict
l6xotv9cX0Bd4IjQ,延庆观炸鸡(天地湾店),中式,False,C:品牌映射,brand:延庆观,整鸡/大单品,False,C:品牌映射,brand:延庆观,卤炸,False,C:品牌映射,brand:延庆观,原味+黑胡椒,True,C:品牌映射,brand:延庆观,档口/摊位,False,C:品牌映射,brand:延庆观,15-20,A,惠济区,北大学城,口味:3.6 环境:3.6 服务:3.6,15,1,1,0,兴盛德花生_冰露矿泉水_康师傅水蜜桃_香飘飘奶茶_天方方便面_骨肉相连_黑胡椒粉_茉莉蜜茶_醒目_天方香酥米,,
FqOVtuB0hffrmsBG,张屯屯开花鸡腿(英才街店),中式,False,C:品牌映射,brand:张屯屯,鸡腿+鸡排+鸡架/锁骨/叉骨+鸡块/鸡米花/鸡柳,True,C:品牌映射,brand:张屯屯,生炸/现炸,False,C:品牌映射,brand:张屯屯,原味,False,C:品牌映射,brand:张屯屯,档口/摊位,False,C:品牌映射,brand:张屯屯,10-15,A,惠济区,北大学城,口味:3.6 环境:3.6 服务:3.6,12,1,1,0,焦香鸡叉骨_糖心爆浆糍粑_囤囤鸡排_海苔鸡柳_手工鲜切鸡柳_炸鸡锅包肉_牛奶雪花酪_冰镇乌梅汁_招牌鸡块_开花鸡腿,,
l4KiPDnUVsnbikxP,叫了只炸鸡(北大学城店),中式,False,C:品牌映射,brand:叫了只,鸡腿+鸡翅,True,C:品牌映射,brand:叫了只,生炸/现炸,False,C:品牌映射,brand:叫了只,原味+香辣+酱香,True,C:品牌映射,brand:叫了只,外卖型,False,C:品牌映射,brand:叫了只,20-30,A,惠济区,北大学城,口味:3.5 环境:3.5 服务:3.5,16,1,1,0,香辣鸡腿堡_翅根一箩筐_炸鸡_老北京鸡肉卷_大福_鸡的朋友圈_香酥双层牛肉堡_奥尔良腿排堡_脆皮香芋派_脆皮红豆派,,
G1kRiCElLmJcGZQe,延庆观炸鸡(杨庄惠弘新园店),中式,False,C:品牌映射,brand:延庆观,整鸡/大单品,False,C:品牌映射,brand:延庆观,卤炸,False,C:品牌映射,brand:延庆观,原味,False,C:品牌映射,brand:延庆观,档口/摊位,False,C:品牌映射,brand:延庆观,15-20,A,惠济区,北大学城,口味:3.4 环境:3.4 服务:3.4,4,1,,0,,,
l60IwHLfokwirYkY,台式炸鸡烤肉拌饭,中式,True,A:菜品直接证据,香酥鸡;泰式,整鸡/大单品,True,A:菜品直接证据,大鸡;鸡排;鸡米花,Unknown,False,D:无证据,,香辣+孜然+酱香+酸甜,True,A:菜品直接证据,香酥;香辣;孜然;黑椒;照烧;番茄,堂食+外带,False,C:店名推断,烤肉,10-15,A,惠济区,北大学城,口味:3.9 环境:3.9 服务:3.9,13,1,1,0,藤椒鸡米花_泰式香辣炸鸡_叉烧炸鸡饭_叉烧烤肉饭_咖喱牛肉饭_孜然炸鸡饭_沙拉烤肉拌饭_泰式烤肉拌饭_照烧烤肉拌饭_番茄烤肉拌饭,,
G6pCg0VbXJSn9iTj,第一部落烤串(金达路福都广场店),地方特色,False,A:菜品直接证据,台式,整鸡/大单品+鸡排+鸡架/锁骨/叉骨,True,A:菜品直接证据,大鸡;鸡腿;鸡排;鸡架;鸡柳,生炸/现炸,False,A:菜品直接证据,生炸,甜辣,False,A:菜品直接证据,芝士,堂食+外卖+团购,False,B:多字段组合,外卖:1/团购:1,10-15,A,惠济区,北大学城,口味:3.5 环境:3.6 服务:3.6,15,1,1,0,精品五花肉串_脆香大鸡排_生炸大鸡架_美味棒棒鸡_美味芝士棒_黄金烤饼_台式大烤肠_深海鱿鱼板_部落纯肉旸_青花椒猪肉串,,
l20N5vkLEjwli2ZV,鸡柳大人(北大学城店),中式,False,C:品牌映射,brand:鸡柳大人,整鸡/大单品+鸡腿+鸡块/鸡米花/鸡柳,True,C:品牌映射,brand:鸡柳大人,生炸/现炸,False,C:品牌映射,brand:鸡柳大人,椒盐,False,C:品牌映射,brand:鸡柳大人,档口/摊位,False,C:品牌映射,brand:鸡柳大人,10-15,A,惠济区,北大学城,口味:3.8 环境:3.8 服务:3.8,26,1,1,36,鸡柳薯条年糕三合一_精品三合一特_香酥鸡柳_冰粉_香酥鸡柳烤饼_原切薯条_爆汁大鸡腿_红薯叶年糕,,
